Gene stable ID,Gene name,Gene description,Gene start (bp),Gene end (bp),Gene % GC content
ENSG00000237330,RNF223,ring finger protein 223 [Source:HGNC Symbol;Acc:HGNC:40020],1070966,1074307,65.44
ENSG00000131591,C1orf159,chromosome 1 open reading frame 159 [Source:HGNC Symbol;Acc:HGNC:26062],1081818,1116361,54.65
ENSG00000285812,AL390719.3,novel transcript, antisense to C1orf159,1097585,1104598,43.54
ENSG00000223823,LINC01342,long intergenic non-protein coding RNA 1342 [Source:HGNC Symbol;Acc:HGNC:50551],1137017,1144056,65.00
ENSG00000207730,MIR200B,microRNA 200b [Source:HGNC Symbol;Acc:HGNC:31579],1167104,1167198,60.00
ENSG00000207607,MIR200A,microRNA 200a [Source:HGNC Symbol;Acc:HGNC:31578],1167863,1167952,55.56
ENSG00000198976,MIR429,microRNA 429 [Source:HGNC Symbol;Acc:HGNC:13784],1169005,1169087,57.83
ENSG00000272141,AL390719.2,novel transcript,1169357,1170343,65.75
ENSG00000205231,TTLL10-AS1,TTLL10 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:41159],1173056,1179555,61.03
ENSG00000162571,TTLL10,tubulin tyrosine ligase like 10 [Source:HGNC Symbol;Acc:HGNC:26693],1173884,1197935,54.75
ENSG00000186891,TNFRSF18,TNF receptor superfamily member 18 [Source:HGNC Symbol;Acc:HGNC:11914],1203508,1206691,67.46
ENSG00000186827,TNFRSF4,TNF receptor superfamily member 4 [Source:HGNC Symbol;Acc:HGNC:11918],1211326,1214138,70.39
ENSG00000078808,SDF4,stromal cell derived factor 4 [Source:HGNC Symbol;Acc:HGNC:24188],1216908,1232031,61.35
ENSG00000176022,B3GALT6,beta-1,3-galactosyltransferase 6 [Source:HGNC Symbol;Acc:HGNC:17978],1232226,1235041,64.31
ENSG00000184163,C1QTNF12,C1q and TNF related 12 [Source:HGNC Symbol;Acc:HGNC:32308],1242446,1246722,69.35
ENSG00000260179,AL162741.1,novel transcript,1249777,1251334,55.71
ENSG00000160087,UBE2J2,ubiquitin conjugating enzyme E2 J2 [Source:HGNC Symbol;Acc:HGNC:19268],1253909,1273885,56.33
ENSG00000230415,LINC01786,long intergenic non-protein coding RNA 1786 [Source:HGNC Symbol;Acc:HGNC:52575],1275223,1280420,50.06
ENSG00000162572,SCNN1D,sodium channel epithelial 1 delta subunit [Source:HGNC Symbol;Acc:HGNC:10601],1280436,1292029,65.93
ENSG00000131584,ACAP3,ArfGAP with coiled-coil, ankyrin repeat and PH domains 3 [Source:HGNC Symbol;Acc:HGNC:16754],1292376,1309609,67.30
ENSG00000278073,MIR6726,microRNA 6726 [Source:HGNC Symbol;Acc:HGNC:50009],1296110,1296170,70.49
ENSG00000169972,PUSL1,pseudouridylate synthase like 1 [Source:HGNC Symbol;Acc:HGNC:26914],1308567,1311677,66.76
ENSG00000127054,INTS11,integrator complex subunit 11 [Source:HGNC Symbol;Acc:HGNC:26052],1311585,1324691,60.46
ENSG00000283712,MIR6727,microRNA 6727 [Source:HGNC Symbol;Acc:HGNC:50171],1312502,1312566,72.31
ENSG00000240731,AL139287.1,novel transcript,1317581,1318689,47.97
ENSG00000224051,CPTP,ceramide-1-phosphate transfer protein [Source:HGNC Symbol;Acc:HGNC:28116],1324756,1328897,65.26
ENSG00000169962,TAS1R3,taste 1 receptor member 3 [Source:HGNC Symbol;Acc:HGNC:15661],1331314,1335306,66.74
ENSG00000107404,DVL1,dishevelled segment polarity protein 1 [Source:HGNC Symbol;Acc:HGNC:3084],1335276,1349350,66.25
ENSG00000284372,MIR6808,microRNA 6808 [Source:HGNC Symbol;Acc:HGNC:50046],1339650,1339708,69.49
ENSG00000162576,MXRA8,matrix remodeling associated 8 [Source:HGNC Symbol;Acc:HGNC:7542],1352689,1361777,65.30
ENSG00000175756,AURKAIP1,aurora kinase A interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:24114],1373730,1375495,66.87
ENSG00000223663,NDUFB4P8,NADH:ubiquinone oxidoreductase subunit B4 pseudogene 8 [Source:HGNC Symbol;Acc:HGNC:45256],1378666,1379032,48.77
ENSG00000221978,CCNL2,cyclin L2 [Source:HGNC Symbol;Acc:HGNC:20570],1385711,1399328,51.37
ENSG00000224870,AL391244.1,uncharacterized LOC148413 [Source:NCBI gene;Acc:148413],1399522,1402046,59.37
ENSG00000242485,MRPL20,mitochondrial ribosomal protein L20 [Source:HGNC Symbol;Acc:HGNC:14478],1401908,1407313,53.09
ENSG00000264293,RN7SL657P,RNA, 7SL, cytoplasmic 657, pseudogene [Source:HGNC Symbol;Acc:HGNC:46673],1405460,1405752,54.61
ENSG00000272455,AL391244.3,novel transcript,1409096,1410618,49.44
ENSG00000235098,ANKRD65,ankyrin repeat domain 65 [Source:HGNC Symbol;Acc:HGNC:42950],1418420,1421769,66.51
ENSG00000225905,AL391244.2,novel transcript,1420245,1422691,66.57
ENSG00000205116,TMEM88B,transmembrane protein 88B [Source:HGNC Symbol;Acc:HGNC:37099],1426128,1427787,70.60
ENSG00000225285,LINC01770,long intergenic non-protein coding RNA 1770 [Source:HGNC Symbol;Acc:HGNC:52560],1430539,1434573,66.84
ENSG00000179403,VWA1,von Willebrand factor A domain containing 1 [Source:HGNC Symbol;Acc:HGNC:30910],1434861,1442882,66.36
ENSG00000215915,ATAD3C,ATPase family, AAA domain containing 3C [Source:HGNC Symbol;Acc:HGNC:32151],1449689,1470158,56.98
ENSG00000160072,ATAD3B,ATPase family, AAA domain containing 3B [Source:HGNC Symbol;Acc:HGNC:24007],1471769,1497848,58.83
ENSG00000284740,AL645728.2,ATPase family, AAA domain containing 3C (ATAD3C) pseudogene,1503250,1509452,53.70
ENSG00000197785,ATAD3A,ATPase family, AAA domain containing 3A [Source:HGNC Symbol;Acc:HGNC:25567],1512151,1534687,59.87
ENSG00000205090,TMEM240,transmembrane protein 240 [Source:HGNC Symbol;Acc:HGNC:25186],1535174,1540453,66.02
ENSG00000160075,SSU72,SSU72 homolog, RNA polymerase II CTD phosphatase [Source:HGNC Symbol;Acc:HGNC:25016],1541673,1574869,53.87
ENSG00000215014,AL645728.1,novel transcript,1574102,1577075,56.15
ENSG00000274481,AL691432.3,sulfiredoxin 1 (SRXN1) pseudogene,1583510,1583909,63.75
ENSG00000228594,FNDC10,fibronectin type III domain containing 10 [Source:HGNC Symbol;Acc:HGNC:42951],1598012,1600096,70.31
ENSG00000272106,AL691432.2,artifact,1613758,1615795,57.36
ENSG00000197530,MIB2,mindbomb E3 ubiquitin protein ligase 2 [Source:HGNC Symbol;Acc:HGNC:30577],1615415,1630610,66.41
ENSG00000189409,MMP23B,matrix metallopeptidase 23B [Source:HGNC Symbol;Acc:HGNC:7171],1632095,1635263,70.43
ENSG00000248333,CDK11B,cyclin dependent kinase 11B [Source:HGNC Symbol;Acc:HGNC:1729],1635227,1659012,51.91
ENSG00000272004,FO704657.1,novel transcript, antisense to SLC35E2B,1659325,1662602,49.30
ENSG00000189339,SLC35E2B,solute carrier family 35 member E2B [Source:HGNC Symbol;Acc:HGNC:33941],1659529,1692728,53.52
ENSG00000269737,AL691432.1,ribosomal protein S7 (RPS7) pseudogene,1671990,1674397,51.62
ENSG00000215914,MMP23A,matrix metallopeptidase 23A (pseudogene) [Source:HGNC Symbol;Acc:HGNC:7170],1699942,1701782,72.13
ENSG00000008128,CDK11A,cyclin dependent kinase 11A [Source:HGNC Symbol;Acc:HGNC:1730],1702730,1724324,51.99
ENSG00000268575,AL031282.2,novel transcript, readthrough between SLC35E2 and CDK11A,1702736,1737688,51.55
ENSG00000227775,AL031282.1,ribosomal protein S7 (RPS7) pseudogene,1724512,1737251,50.91
ENSG00000215790,SLC35E2A,solute carrier family 35 member E2A [Source:HGNC Symbol;Acc:HGNC:20863],1724838,1745999,52.17
ENSG00000008130,NADK,NAD kinase [Source:HGNC Symbol;Acc:HGNC:29831],1751232,1780457,53.70
ENSG00000078369,GNB1,G protein subunit beta 1 [Source:HGNC Symbol;Acc:HGNC:4396],1785285,1891117,46.70
ENSG00000231050,AL109917.1,collagen alpha-2(VIII) chain [Source:NCBI gene;Acc:105378949],1891471,1892658,65.32
ENSG00000169885,CALML6,calmodulin like 6 [Source:HGNC Symbol;Acc:HGNC:24193],1914827,1917296,63.04
ENSG00000178821,TMEM52,transmembrane protein 52 [Source:HGNC Symbol;Acc:HGNC:27916],1917590,1919273,67.46
ENSG00000142609,CFAP74,cilia and flagella associated protein 74 [Source:HGNC Symbol;Acc:HGNC:29368],1921951,2003837,55.65
ENSG00000233542,AL391845.2,novel transcript,2013213,2015530,51.68
ENSG00000187730,GABRD,gamma-aminobutyric acid type A receptor delta subunit [Source:HGNC Symbol;Acc:HGNC:4084],2019298,2030758,62.58
ENSG00000226969,AL391845.1,uncharacterized LOC105378591 [Source:NCBI gene;Acc:105378591],2049203,2050070,64.40
ENSG00000067606,PRKCZ,protein kinase C zeta [Source:HGNC Symbol;Acc:HGNC:9412],2050470,2185395,56.44
ENSG00000271806,AL590822.2,novel transcript, antisense PRKCZ,2141084,2145279,55.74
ENSG00000182873,PRKCZ-AS1,PRKCZ antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:40477],2181794,2184389,57.78
ENSG00000162585,FAAP20,FA core complex associated protein 20 [Source:HGNC Symbol;Acc:HGNC:26428],2184461,2212720,60.96
ENSG00000234396,AL590822.1,novel transcript,2212523,2220738,57.52
ENSG00000157933,SKI,SKI proto-oncogene [Source:HGNC Symbol;Acc:HGNC:10896],2228695,2310119,57.48
ENSG00000116151,MORN1,MORN repeat containing 1 [Source:HGNC Symbol;Acc:HGNC:25852],2321253,2391707,57.29
ENSG00000272161,AL589739.1,novel transcript, sense intronic to MORN1,2326201,2326693,62.07
ENSG00000269896,AL513477.1,small nuclear ribonucleoprotein polypeptide N pseudogene [Source:NCBI gene;Acc:100129534],2350414,2352820,57.62
ENSG00000272420,AL513477.2,novel transcript, sense intronic to MORN1,2363061,2363628,36.09
ENSG00000157916,RER1,retention in endoplasmic reticulum sorting receptor 1 [Source:HGNC Symbol;Acc:HGNC:30309],2391775,2405444,53.95
ENSG00000157911,PEX10,peroxisomal biogenesis factor 10 [Source:HGNC Symbol;Acc:HGNC:8851],2403964,2413797,61.52
ENSG00000149527,PLCH2,phospholipase C eta 2 [Source:HGNC Symbol;Acc:HGNC:29037],2425980,2505530,64.62
ENSG00000224387,AL139246.1,novel transcript,2492300,2493258,64.55
ENSG00000229393,AL139246.4,novel transcript,2493437,2494479,64.91
ENSG00000157881,PANK4,pantothenate kinase 4 [Source:HGNC Symbol;Acc:HGNC:19366],2508533,2526628,60.69
ENSG00000197921,HES5,hes family bHLH transcription factor 5 [Source:HGNC Symbol;Acc:HGNC:19764],2528745,2530245,68.29
ENSG00000272449,AL139246.5,novel transcript,2530064,2547460,63.15
ENSG00000238164,TNFRSF14-AS1,TNFRSF14 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:26966],2549920,2557031,62.87
ENSG00000157873,TNFRSF14,TNF receptor superfamily member 14 [Source:HGNC Symbol;Acc:HGNC:11912],2555639,2565382,64.06
ENSG00000225931,AL139246.2,novel transcript,2566410,2569888,64.01
ENSG00000228037,AL139246.3,uncharacterized LOC100996583 [Source:NCBI gene;Acc:100996583],2581560,2584533,51.11
ENSG00000157870,PRXL2B,peroxiredoxin like 2B [Source:HGNC Symbol;Acc:HGNC:28390],2586491,2591469,64.59
ENSG00000142606,MMEL1,membrane metalloendopeptidase like 1 [Source:HGNC Symbol;Acc:HGNC:14668],2590639,2632990,54.94
ENSG00000237058,AL831784.1,novel transcript,2632568,2636620,59.71
ENSG00000215912,TTC34,tetratricopeptide repeat domain 34 [Source:HGNC Symbol;Acc:HGNC:34297],2635976,2801717,59.48
ENSG00000285945,AC242022.2,novel transcript, antisense to TTC34,2768091,2784733,53.96
ENSG00000283259,AC242022.1,novel transcript, antisense to TTC34,2773603,2776473,57.33
ENSG00000233234,AL592464.2,novel transcript,2811850,2812692,51.84
ENSG00000231630,AL592464.1,novel transcript,2814432,2814998,60.32
ENSG00000284745,AL589702.1,novel transcript,2960658,2968707,52.58
ENSG00000169717,ACTRT2,actin related protein T2 [Source:HGNC Symbol;Acc:HGNC:24026],3021483,3022903,61.51
ENSG00000177133,LINC00982,long intergenic non-protein coding RNA 982 [Source:HGNC Symbol;Acc:HGNC:48664],3059615,3068437,61.79
ENSG00000142611,PRDM16,PR/SET domain 16 [Source:HGNC Symbol;Acc:HGNC:14000],3069168,3438621,57.58
ENSG00000283572,MIR4251,microRNA 4251 [Source:HGNC Symbol;Acc:HGNC:38370],3127975,3128035,50.82
ENSG00000226286,AL008733.1,novel transcript,3132927,3133709,58.24
ENSG00000279839,AL512383.1,TEC,3205988,3208664,59.06
ENSG00000272235,AL590438.1,novel transcript,3306636,3310096,54.23
ENSG00000130762,ARHGEF16,Rho guanine nucleotide exchange factor 16 [Source:HGNC Symbol;Acc:HGNC:15515],3454426,3481113,63.08
ENSG00000272088,AL512413.1,novel transcript,3487246,3487627,40.31
ENSG00000162591,MEGF6,multiple EGF like domains 6 [Source:HGNC Symbol;Acc:HGNC:3232],3489920,3611495,62.62
ENSG00000207776,MIR551A,microRNA 551a [Source:HGNC Symbol;Acc:HGNC:32806],3560695,3560790,61.46
ENSG00000238260,AL513320.1,novel transcript,3623190,3624743,61.65
ENSG00000158109,TPRG1L,tumor protein p63 regulated 1 like [Source:HGNC Symbol;Acc:HGNC:27007],3625002,3630127,52.22
ENSG00000116213,WRAP73,WD repeat containing, antisense to TP73 [Source:HGNC Symbol;Acc:HGNC:12759],3630767,3652761,55.25
ENSG00000078900,TP73,tumor protein p73 [Source:HGNC Symbol;Acc:HGNC:12003],3652520,3736201,59.52
ENSG00000227589,AL136528.1,novel transcript,3658938,3668772,48.83
ENSG00000235131,AL136528.2,novel transcript,3712200,3714298,59.84
ENSG00000227372,TP73-AS1,TP73 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:29052],3735511,3747373,54.46
ENSG00000276189,RF02197,,3736943,3737103,57.76
ENSG00000162592,CCDC27,coiled-coil domain containing 27 [Source:HGNC Symbol;Acc:HGNC:26546],3746460,3771645,53.23
ENSG00000235169,SMIM1,small integral membrane protein 1 (Vel blood group) [Source:HGNC Symbol;Acc:HGNC:44204],3772761,3775982,64.96
ENSG00000130764,LRRC47,leucine rich repeat containing 47 [Source:HGNC Symbol;Acc:HGNC:29207],3778558,3796504,54.71
ENSG00000266075,RN7SL574P,RNA, 7SL, cytoplasmic 574, pseudogene [Source:HGNC Symbol;Acc:HGNC:46590],3782815,3783111,58.59
ENSG00000272153,AL365330.1,novel transcript, antisense to LRRC47,3785008,3785538,53.86
ENSG00000116198,CEP104,centrosomal protein 104 [Source:HGNC Symbol;Acc:HGNC:24866],3812081,3857214,47.92
ENSG00000169598,DFFB,DNA fragmentation factor subunit beta [Source:HGNC Symbol;Acc:HGNC:2773],3857267,3885429,51.66
ENSG00000198912,C1orf174,chromosome 1 open reading frame 174 [Source:HGNC Symbol;Acc:HGNC:27915],3889125,3900293,49.32
ENSG00000236423,LINC01134,long intergenic non-protein coding RNA 1134 [Source:HGNC Symbol;Acc:HGNC:49449],3900372,3917225,56.60
ENSG00000233304,LINC01346,long intergenic non-protein coding RNA 1346 [Source:HGNC Symbol;Acc:HGNC:50563],3940565,3955262,51.50
ENSG00000226374,LINC01345,long intergenic non-protein coding RNA 1345 [Source:HGNC Symbol;Acc:HGNC:50564],3944547,3948980,55.30
ENSG00000284668,AL805961.1,uncharacterized LOC105376673 [Source:NCBI gene;Acc:105376673],3976133,4012699,52.12
ENSG00000284703,AL805961.2,novel transcript,4012921,4019508,45.10
ENSG00000229280,EEF1DP6,eukaryotic translation elongation factor 1 delta pseudogene 6 [Source:HGNC Symbol;Acc:HGNC:51456],4175528,4175899,56.99
ENSG00000235054,LINC01777,long intergenic non-protein coding RNA 1777 [Source:HGNC Symbol;Acc:HGNC:52567],4412027,4424689,43.57
ENSG00000284694,AL355602.1,novel transcript,4479131,4484375,52.16
ENSG00000227169,Z98747.1,novel transcript,4551735,4552145,46.47
ENSG00000232596,LINC01646,long intergenic non-protein coding RNA 1646 [Source:HGNC Symbol;Acc:HGNC:52433],4571481,4594009,44.37
ENSG00000196581,AJAP1,adherens junctions associated protein 1 [Source:HGNC Symbol;Acc:HGNC:30801],4654732,4792534,52.37
ENSG00000284739,BX005132.2,novel transcript,4963954,4973298,48.73
ENSG00000284674,BX005132.1,uncharacterized LOC105376680 [Source:NCBI gene;Acc:105376680],4973381,4981568,49.79
ENSG00000231510,AL691497.1,novel transcript,5086459,5090899,41.00
ENSG00000284616,AL139823.1,novel transcript,5301928,5307394,43.88
ENSG00000284692,Z98259.3,uncharacterized LOC105376686 [Source:NCBI gene;Acc:105376686],5478736,5493057,50.72
ENSG00000284666,Z98259.2,novel transcript,5480787,5482028,52.17
ENSG00000260972,Z98259.1,novel transcript,5492978,5494674,51.62
ENSG00000283356,Z97988.1,mitochondrially encoded cytochrome c oxidase III (MT-CO3) pseudogene,5554747,5554881,41.48
ENSG00000236948,AL365255.1,novel transcript,5561709,5668295,46.87
ENSG00000264341,MIR4417,microRNA 4417 [Source:HGNC Symbol;Acc:HGNC:41535],5564071,5564143,63.01
ENSG00000264101,MIR4689,microRNA 4689 [Source:HGNC Symbol;Acc:HGNC:41895],5862672,5862741,62.86
ENSG00000131697,NPHP4,nephrocystin 4 [Source:HGNC Symbol;Acc:HGNC:19104],5862811,5992473,49.94
ENSG00000069424,KCNAB2,potassium voltage-gated channel subfamily A regulatory beta subunit 2 [Source:HGNC Symbol;Acc:HGNC:6229],5991466,6101193,56.05
ENSG00000116254,CHD5,chromodomain helicase DNA binding protein 5 [Source:HGNC Symbol;Acc:HGNC:16816],6101793,6180123,56.70
ENSG00000285629,AL031847.2,novel transcript,6159430,6197757,54.33
ENSG00000116251,RPL22,ribosomal protein L22 [Source:HGNC Symbol;Acc:HGNC:10315],6185020,6209389,50.80
ENSG00000226944,AL031847.1,uncharacterized LOC102724450 [Source:NCBI gene;Acc:102724450],6204840,6205780,58.13
ENSG00000158286,RNF207,ring finger protein 207 [Source:HGNC Symbol;Acc:HGNC:32947],6205475,6221299,57.32
ENSG00000116237,ICMT,isoprenylcysteine carboxyl methyltransferase [Source:HGNC Symbol;Acc:HGNC:5350],6221193,6235972,49.59
ENSG00000225077,LINC00337,long intergenic non-protein coding RNA 337 [Source:HGNC Symbol;Acc:HGNC:28620],6234692,6239444,56.81
ENSG00000173673,HES3,hes family bHLH transcription factor 3 [Source:HGNC Symbol;Acc:HGNC:26226],6244192,6245578,65.97
ENSG00000158292,GPR153,G protein-coupled receptor 153 [Source:HGNC Symbol;Acc:HGNC:23618],6247346,6260975,60.31
ENSG00000097021,ACOT7,acyl-CoA thioesterase 7 [Source:HGNC Symbol;Acc:HGNC:24157],6264269,6394391,54.00
ENSG00000271746,AL031848.2,novel transcript, antisense to ACOT7,6393555,6394391,63.20
ENSG00000069812,HES2,hes family bHLH transcription factor 2 [Source:HGNC Symbol;Acc:HGNC:16005],6412418,6424670,57.51
ENSG00000187017,ESPN,espin [Source:HGNC Symbol;Acc:HGNC:13281],6424776,6461367,60.15
ENSG00000265392,MIR4252,microRNA 4252 [Source:HGNC Symbol;Acc:HGNC:38384],6429834,6429896,65.08
ENSG00000231868,AL031848.1,novel transcript, antisense to ESPN,6443034,6447006,60.86
ENSG00000215788,TNFRSF25,TNF receptor superfamily member 25 [Source:HGNC Symbol;Acc:HGNC:11910],6460786,6466195,59.87
